67,47,62,48,37,37,33,59,51,56,44,48,55,44,63,57,51,41,65,45,51,46,37,47,45,26,51,64,58,52,57
24,29,20,23,19,25,27,23,16,17,12,25,24,10,27,20,25,19,26,29,22,19,21,24,24,14,26,36,27,12,23
171,137,156,145,115,117,115,181,142,122,101,160,158,97,193,146,146,132,199,156,118,102,140,160,139,119,172,219,170,106,160
.251,.131,.269,.172,.157,.103,.052,.199,.246,.320,.317,.144,.196,.351,.187,.253,.178,.167,.196,.103,.246,.265,.114,.144,.151,.101,.145,.128,.182,.377,.212
60,45,56,46,36,36,31,56,51,49,44,49,52,40,59,55,50,37,60,43,49,45,36,47,42,24,50,60,54,50,55
6,5,7,5,4,2,3,2,5,4,6,2,2,7,3,2,6,1,6,5,2,3,3,3,1,4,1,3,2,5,5
10,14,17,10,9,8,7,10,9,6,11,7,8,8,12,14,11,13,13,10,12,5,3,7,6,5,9,6,9,2,3
9,4,4,3,2,3,2,4,4,7,5,3,6,1,2,4,5,2,7,2,1,0,6,5,6,1,7,3,5,2,7
83,44,57,74,45,46,53,73,64,51,47,69,61,35,79,55,63,54,90,73,55,43,72,69,63,49,84,100,79,56,68
1,2,0,2,2,2,1,3,1,5,2,1,4,0,2,1,4,0,1,4,2,1,0,1,1,1,5,2,2,1,1
24,12,8,16,4,8,8,12,16,12,20,14,12,2,14,7,6,14,16,12,2,8,10,14,6,0,10,14,2,8,8
3,2,2,1,1,1,1,2,0,1,0,0,6,0,2,3,2,3,0,1,1,0,1,2,1,2,3,5,0,0,0
0,1,0,0,1,0,1,4,2,1,1,4,0,1,0,0,3,3,0,1,3,2,2,2,1,1,4,9,0,2,1
86.0,60.0,73.0,63.0,45.0,45.0,41.0,70.0,65.0,71.0,62.0,58.0,67.0,52.0,75.0,63.5,64.0,49.0,80.0,60.0,56.0,54.0,45.0,58.0,50.0,31.0,62.0,76.0,63.0,62.0,67.0

