35,15,102,.196,30,0,5,7,39,1,4,0,0,38.0
39,24,115,.130,35,2,8,7,42,0,6,0,0,44.0
51,24,133,.203,49,3,1,6,71,1,8,0,0,59.0
30,17,88,.148,28,2,8,7,33,1,2,1,0,34.0
37,25,104,.115,35,4,8,4,42,0,0,1,0,41.0
45,12,100,.330,42,5,3,1,56,0,14,0,1,57.0
55,23,170,.188,53,6,7,6,74,1,18,1,0,71.0
61,18,202,.213,58,3,6,4,89,1,8,3,0,69.0
54,23,128,.242,52,9,9,2,51,0,12,2,0,69.0
47,11,91,.396,46,5,3,3,40,2,4,2,1,56.0
38,33,160,.031,32,7,2,4,71,1,16,2,1,54.0
55,28,156,.173,51,3,7,1,69,2,14,0,0,67.0
67,28,211,.185,66,2,11,4,99,1,16,3,1,78.0
55,25,189,.159,50,4,5,3,100,0,12,3,1,65.0
37,13,114,.211,34,2,5,1,65,2,8,4,0,45.0
67,12,133,.414,63,6,3,2,60,0,4,4,0,75.0
57,24,179,.184,52,3,2,2,88,5,6,2,1,68.0
45,16,111,.261,41,6,6,3,54,4,12,2,0,61.0
31,16,118,.127,29,3,5,6,52,2,4,2,0,38.0
43,14,121,.240,38,9,2,5,72,2,6,0,0,57.0
39,11,130,.215,38,6,7,5,59,4,8,4,0,53.0
52,9,114,.377,50,1,8,4,70,0,4,1,0,55.0
63,26,222,.167,57,4,5,2,113,2,8,2,1,73.0
38,17,133,.158,36,1,0,4,51,0,8,1,4,43.0
45,13,117,.274,42,5,3,3,53,0,8,2,2,54.0
51,29,210,.105,47,8,7,6,116,5,14,1,0,71.0
62,19,163,.264,59,7,0,5,74,2,6,0,0,74.0
69,23,185,.249,67,3,8,5,84,1,8,5,1,77.0
